participant,timestamp_s,state_id,pitch_deg,roll_deg,yaw_deg
Ozcan,0.2557,qiyamStart,-10.5759,-79.4229,-8.7916
Ozcan,0.2577,qiyamStart,-46.1692,-52.3762,-2.8766
Ozcan,0.2893,qiyamStart,-58.9301,-25.7529,14.9097
Ozcan,0.2913,qiyamStart,-59.6729,-25.9565,14.8100
Ozcan,0.3393,qiyamStart,-57.3720,-25.2588,15.1758
Ozcan,0.3424,qiyamStart,-56.8907,-25.0728,15.2958
Ozcan,0.3675,qiyamStart,-56.3384,-24.8901,15.4616
Ozcan,0.3695,qiyamStart,-55.7857,-24.7129,15.6218
Ozcan,0.3951,qiyamStart,-54.1376,-24.0440,15.9699
Ozcan,0.4440,qiyamStart,-53.2770,-23.9030,15.9436
Ozcan,0.4476,qiyamStart,-52.4164,-23.7641,15.9145
Ozcan,0.4726,qiyamStart,-50.6300,-23.7972,15.5831
Ozcan,0.4760,qiyamStart,-49.3065,-24.1944,15.0142
Ozcan,0.5000,qiyamStart,-48.5752,-24.4458,14.5958
Ozcan,0.5260,qiyamStart,-47.8524,-24.7196,14.1233
Ozcan,0.5300,qiyamStart,-47.1281,-24.9808,13.6623
Ozcan,0.5528,qiyamStart,-46.2412,-25.2201,13.1977
Ozcan,0.6567,qiyamStart,-44.9715,-25.2555,12.4522
Ozcan,0.6603,qiyamStart,-44.0307,-25.3335,12.0786
Ozcan,0.6603,qiyamStart,-43.0895,-25.4020,11.7125
Ozcan,0.6603,qiyamStart,-42.1481,-25.4613,11.3535
Ozcan,0.6603,qiyamStart,-41.2063,-25.5119,11.0009
Ozcan,0.7128,qiyamStart,-39.0036,-25.5159,10.3212
Ozcan,0.7169,qiyamStart,-38.5463,-25.5005,10.1727
Ozcan,0.7170,qiyamStart,-38.0890,-25.4837,10.0249
Ozcan,0.7417,qiyamStart,-35.6989,-25.3741,9.3712
Ozcan,0.7755,qiyamStart,-32.9718,-25.0500,8.6405
Ozcan,0.7796,qiyamStart,-32.0830,-24.8803,8.3661
Ozcan,0.8243,qiyamStart,-29.1060,-24.2599,7.5856
Ozcan,0.8280,qiyamStart,-27.7085,-23.8672,7.2303
